1,101,80000,Standard,2
1,102,80000,Standard,2
1,103,80000,Standard,2
1,104,80000,Standard,2
1,105,80000,Standard,2
1,106,100000,Deluxe,4
1,107,100000,Deluxe,4
1,108,100000,Deluxe,4
1,109,100000,Deluxe,4
1,110,100000,Deluxe,4
2,201,80000,Standard,2
2,202,80000,Standard,2
2,203,80000,Standard,2
2,204,80000,Standard,2
2,205,80000,Standard,2
2,206,100000,Deluxe,4
2,208,100000,Deluxe,4
2,210,100000,Deluxe,4
3,301,80000,Standard,2
3,302,80000,Standard,2
3,303,80000,Standard,2
3,304,80000,Standard,2
3,305,80000,Standard,2
3,306,100000,Deluxe,4
3,307,100000,Deluxe,4
3,308,100000,Deluxe,4
3,309,100000,Deluxe,4
3,310,100000,Deluxe,4
4,401,100000,Standard,2
4,402,100000,Standard,2
4,403,100000,Standard,2
4,404,100000,Standard,2
4,405,100000,Standard,2
4,406,130000,Deluxe,4
4,407,130000,Deluxe,4
4,408,130000,Deluxe,4
4,409,130000,Deluxe,4
4,410,130000,Deluxe,4
5,501,100000,Standard,2
5,502,100000,Standard,2
5,503,100000,Standard,2
5,504,100000,Standard,2
5,505,100000,Deluxe,4
5,506,130000,Deluxe,4
5,507,130000,Deluxe,4
5,508,130000,Deluxe,4
5,509,130000,Suite,6
5,510,130000,Suite,6
6,601,100000,Standard,2
6,602,100000,Standard,2
6,603,100000,Standard,2
6,604,100000,Standard,2
6,605,130000,Deluxe,4
6,606,130000,Deluxe,4
6,607,130000,Deluxe,4
6,608,130000,Deluxe,4
6,609,200000,Suite,6
6,610,200000,Suite,6
7,701,100000,Standard,2
7,702,100000,Standard,2
7,703,100000,Standard,2
7,704,100000,Standard,2
7,705,130000,Deluxe,4
7,706,130000,Deluxe,4
7,707,130000,Deluxe,4
7,708,130000,Deluxe,4
7,709,200000,Suite,6
7,710,200000,Suite,6
8,801,100000,Standard,2
8,802,100000,Standard,2
8,803,100000,Standard,2
8,804,100000,Standard,2
8,805,100000,Deluxe,4
8,806,130000,Deluxe,4
8,807,130000,Deluxe,4
8,808,130000,Deluxe,4
8,809,200000,Suite,6
8,810,200000,Suite,6
9,901,180000,Deluxe,4
9,902,180000,Deluxe,4
9,903,180000,Deluxe,4
9,904,180000,Deluxe,4
9,905,180000,Deluxe,4
9,906,230000,Suite,6
9,907,230000,Suite,6
9,908,230000,Suite,6
9,909,230000,Suite,6
9,910,230000,Suite,6
10,1001,200000,Deluxe,4
10,1002,200000,Deluxe,4
10,1003,200000,Deluxe,4
10,1004,200000,Deluxe,4
10,1005,200000,Deluxe,4
10,1006,250000,Suite,6
10,1007,250000,Suite,6
10,1009,250000,Suite,6
